x,y
79.48113035416485,9.0
50.26370931051921,4.0
57.69038846263591,6.0
49.25176938188639,6.0
19.52429877980445,1.0
72.24521152615053,7.0
28.07723624408558,0.0
2.431596643145384,0.0
64.54722959071678,6.0
17.711067940704893,1.0
94.04585843529144,10.0
95.39285770025873,8.0
91.48643902204485,9.0
37.01587002554444,4.0
1.5456616528867428,2.0
92.83185625877253,8.0
42.81841483173143,5.0
96.66548190436696,10.0
96.36199770892529,9.0
85.300945546736,9.0
29.444889206958567,3.0
38.50977286019253,3.0
85.11366715168569,9.0
31.692200515627768,3.0
16.94927466860925,2.0
55.68012624583501,6.0
93.6154774160781,10.0
69.6029796674973,6.0
57.0061170089365,8.0
9.717649377076853,0.0
61.500722669916975,6.0
99.00538501042632,10.0
14.008401523652402,2.0
51.832965236373674,5.0
87.73730719279554,9.0
74.07686177542044,7.0
69.7015740995268,6.0
70.24840839871092,8.0
35.94911512197552,4.0
29.359184426449335,2.0
80.93611554785136,9.0
81.01133946791808,8.0
86.70723185801037,10.0
91.32405525564712,10.0
51.13423988609378,4.0
50.15162946871996,5.0
79.82951789667752,9.0
64.99639307777652,7.0
70.19668772577033,7.0
79.57926694361011,8.0
89.00053418175663,10.0
33.79951568515358,3.0
37.5582952639944,4.0
9.3981939840869,1.0
57.8280140996174,6.0
3.5942273796742086,1.0
46.55980181324602,6.0
54.26446347075766,6.0
28.65412521282844,4.0
59.08332605690107,6.0
3.050024993904943,1.0
3.7348188749214417,0.0
82.26005606596583,9.0
36.019064141126286,4.0
12.706051265188478,1.0
52.224326005480435,6.0
76.99935530986109,7.0
21.582102749684317,4.0
62.28904758190003,5.0
8.5347464993768,0.0
5.16817211686077,2.0
53.1354631568148,6.0
54.06351216101065,6.0
63.742990149820656,7.0
72.60913337226616,7.0
97.58520794625346,9.0
51.630034830119534,5.0
32.2956472941246,3.0
79.51861947687037,9.0
27.083225126207424,3.0
43.89714207056361,4.0
7.845638134226595,0.0
2.535074341545751,1.0
96.26484146779251,9.0
83.59801205122058,8.0
69.59742060936979,7.0
40.89529444142699,4.0
17.329432007084577,1.0
15.643704267108605,1.0
25.024289816459532,3.0
54.92266647061205,4.0
71.45959227000624,6.0
66.01973767177313,6.0
27.993389694594285,3.0
95.48652806631941,10.0
73.78969166957685,9.0
55.43540525114007,6.0
61.17207462343522,6.0
41.96000624277899,4.0
24.773098950115745,1.0
